Set	Process_ID	 Interval	 Layer	 Sv_mean	 NASC	 Height_mean	 Depth_mean	 Layer_depth_min	 Layer_depth_max	 Ping_S	 Ping_E	 Dist_M	 Date_M	 Time_M	 Lat_M	 Lon_M	 Noise_Sv_1m	 Minimum_Sv_threshold_applied	 Maximum_Sv_threshold_applied	 Standard_deviation	 Thickness_mean	 Range_mean	 Exclude_below_line_range_mean	 Exclude_above_line_range_mean
34	2218	1	1	-52.725628	8061.043257	35.031779	30.265008	0	150	0	3088	0.128653	20181214	 14:28:17.5490	2.35221245	-17.93694622	-999	1	0	7.87331E-05	35.031779	30.265008	45.098158	10.067478
36	2219	1	1	-56.166262	5556.023847	53.321023	45.362773	0	150	3	3126	0.032777	20181215	 12:55:39.6390	2.93501833	-16.49531833	-999	1	0	5.96568E-05	53.321023	45.362773	72.100908	18.781389
37	2220	1	1	-53.572313	10757.68319	56.814372	40.519009	0	150	1	4950	0.200146	20181216	 09:53:54.0630	2.25510167	-20.38730333	-999	1	0	0.000136616	56.814372	40.519009	66.520454	9.706035
38	2221	1	1	-54.434153	7846.205057	50.533937	58.691272	0	150	0	10979	0.025728	20181217	 07:32:58.7090	4.41320833	-22.11329333	-999	1	0	3.92925E-05	50.533937	58.691272	85.312532	34.778307
43	2222	1	1	-55.997694	3882.647474	35.843098	46.000421	0	150	0	5873	0.143808	20181221	 09:11:27.4640	1.83575667	-11.96734333	-999	1	0	2.45904E-05	35.843098	46.000421	61.233017	25.391026
44	2223	1	1	-54.275227	3471.832226	21.557065	20.1424	0	150	3	2139	0.063683	20181221	 14:24:58.5520	2.23592	-12.39186333	-999	1	0	7.87491E-05	21.557065	20.1424	29.424021	7.866954
46	2224	1	1	-54.295095	6919.361507	43.160228	44.230607	0	150	0	2702	0	20181222	 10:15:58.6320	999	999	-999	1	0	5.24639E-05	43.160228	44.230607	64.428445	21.266919
47	2225	1	1	-60.559891	1340.676669	35.385173	43.340006	0	150	0	4799	0	20181222	 14:39:23.4130	999	999	-999	1	0	1.47803E-05	35.385173	43.340006	61.235602	25.850392
48	2226	1	1	-56.642688	2718.565158	29.114996	50.327066	0	150	0	5059	0	20181223	 07:12:32.4530	999	999	-999	1	0	1.47264E-05	29.114996	50.327066	64.636692	35.522446
50	2227	1	1	-62.063476	886.29753	33.070088	43.125898	0	150	0	6889	0	20181223	 14:00:56.8930	999	999	-999	1	0	1.41839E-05	33.070088	43.125898	58.838501	25.768444
53	2228	1	1	-55.214411	3775.760534	29.104069	44.841375	0	150	0	2350	0	20181224	 16:28:48.6720	999	999	-999	1	0	2.15149E-05	29.104069	44.841375	58.551943	29.449766
55	2229	1	1	-51.91038	14180.94239	51.080044	44.711051	0	150	0	3666	0.106605	20181225	 14:07:24.7360	2.14446	-5.63545167	-999	1	0	6.38651E-05	51.080044	44.711051	70.266502	19.185631
57	2230	1	1	-50.756527	15837.63393	43.737216	43.583927	0	150	0	4017	0.163215	20181228	 10:31:32.9560	2.69066333	-5.71201667	-999	1	0	5.04064E-05	43.737216	43.583927	65.27051	21.533037
59	2231	1	1	-52.385599	8499.281424	34.154685	41.20161	0	150	3	3799	0.203801	20181229	 07:08:17.6430	2.67360667	-6.96791167	-999	1	0	2.99436E-05	34.154685	41.20161	58.524245	24.372631
60	2232	1	1	-53.671806	4542.084943	24.543926	34.447196	0	150	0	7750	0.192842	20181229	 10:03:47.8810	2.61030833	-6.99905	-999	1	0	4.33199E-05	24.543926	34.447196	46.485532	21.942594
63	2233	1	1	-53.163019	6494.955306	31.216647	37.016063	0	150	0	3635	0.058232	20181230	 11:45:20.3550	2.19882667	-7.81890333	-999	1	0	4.02145E-05	31.216647	37.016063	49.603148	18.390635
64	2234	1	1	-57.509117	1812.757105	23.700607	33.014801	0	150	0	4734	0.165814	20181230	 14:07:05.3710	2.20539833	-7.84538833	-999	1	0	1.85094E-05	23.700607	33.014801	43.789019	20.089367
65	2235	1	1	-53.469126	5951.833654	30.695274	39.364685	0	150	0	3407	0.136899	20181231	 07:11:31.9510	2.43415167	-8.005875	-999	1	0	3.60163E-05	30.695274	39.364685	54.224905	23.530617
66	2236	1	1	-53.756217	6737.965328	37.124327	36.614468	0	150	1	6353	0.122109	20181231	 14:00:48.9110	2.64043333	-7.28294667	-999	1	0	0.000127852	37.124327	36.614468	54.098373	16.973914
